id,category,subject,email_text
172,spam,You Won a Lottery,Act immediately to claim your prize before it expires.
173,updates,Weekly Newsletter,Your account settings were recently modified successfully.
174,promotions,Exclusive Deal Just for You,Get amazing discounts on top products. Limited time promotion available now.
175,social,New Friend Request,Your friend interacted with your recent post. Check it out now.
176,spam,Earn Money Fast,Act immediately to claim your prize before it expires.
177,spam,Investment Opportunity,Act immediately to claim your prize before it expires.
178,social,New Follower Alert,Your friend interacted with your recent post. Check it out now.
179,personal,Meeting Tomorrow,Hope you are doing well. Let's catch up soon.
180,purchases,Receipt for Your Purchase,Your order is on the way and will be delivered soon.
181,social,You Were Tagged in a Post,Your friend interacted with your recent post. Check it out now.
182,social,New Comment on Your Photo,You have a new notification from your social network account.
183,social,New Friend Request,Your friend interacted with your recent post. Check it out now.
184,spam,You Won a Lottery,Act immediately to claim your prize before it expires.
185,spam,Claim Your Prize Now,Congratulations you have been selected to receive a huge reward. Click now.
186,purchases,Return Request Approved,Thank you for your order. Your purchase has been confirmed.
187,spam,Earn Money Fast,Congratulations you have been selected to receive a huge reward. Click now.
188,spam,Earn Money Fast,Act immediately to claim your prize before it expires.
189,social,Event Invitation,You have a new notification from your social network account.
190,promotions,Limited Time Offer,Get amazing discounts on top products. Limited time promotion available now.
191,updates,Weekly Newsletter,Your account settings were recently modified successfully.
192,purchases,Invoice for Your Order,Your order is on the way and will be delivered soon.
193,promotions,Special Offer for Members,Get amazing discounts on top products. Limited time promotion available now.
194,social,Event Invitation,You have a new notification from your social network account.
195,spam,Investment Opportunity,Act immediately to claim your prize before it expires.
196,personal,Project Discussion,Just wanted to check if you are available for a quick discussion.
197,promotions,Special Offer for Members,Huge sale on electronics and fashion items. Shop today and save big.
198,updates,Password Changed,Your account settings were recently modified successfully.
199,promotions,Exclusive Deal Just for You,Huge sale on electronics and fashion items. Shop today and save big.
200,spam,Investment Opportunity,Act immediately to claim your prize before it expires.
201,promotions,Flash Discount Inside,Get amazing discounts on top products. Limited time promotion available now.
202,personal,Project Discussion,Just wanted to check if you are available for a quick discussion.
203,social,You Were Tagged in a Post,Your friend interacted with your recent post. Check it out now.
204,purchases,Return Request Approved,Your order is on the way and will be delivered soon.
205,promotions,Special Offer for Members,Get amazing discounts on top products. Limited time promotion available now.
206,promotions,Save Big Today,Get amazing discounts on top products. Limited time promotion available now.
207,promotions,Flash Discount Inside,Huge sale on electronics and fashion items. Shop today and save big.
208,promotions,Special Offer for Members,Huge sale on electronics and fashion items. Shop today and save big.
209,spam,Earn Money Fast,Act immediately to claim your prize before it expires.
210,updates,Password Changed,Your account settings were recently modified successfully.
211,spam,Free Gift Card Inside,Congratulations you have been selected to receive a huge reward. Click now.
212,purchases,Receipt for Your Purchase,Your order is on the way and will be delivered soon.
213,social,Someone Liked Your Post,You have a new notification from your social network account.
214,updates,Subscription Reminder,Your account settings were recently modified successfully.
215,purchases,Return Request Approved,Your order is on the way and will be delivered soon.
216,promotions,Mega Sale Today,Get amazing discounts on top products. Limited time promotion available now.
217,promotions,Special Offer for Members,Huge sale on electronics and fashion items. Shop today and save big.
218,spam,You Won a Lottery,Act immediately to claim your prize before it expires.
219,personal,Trip Planning,Hope you are doing well. Let's catch up soon.
220,purchases,Invoice for Your Order,Your order is on the way and will be delivered soon.
221,spam,Investment Opportunity,Congratulations you have been selected to receive a huge reward. Click now.
222,social,New Follower Alert,You have a new notification from your social network account.
223,personal,Trip Planning,Hope you are doing well. Let's catch up soon.
224,purchases,Invoice for Your Order,Your order is on the way and will be delivered soon.
225,social,Event Invitation,You have a new notification from your social network account.
226,social,Someone Liked Your Post,You have a new notification from your social network account.
227,social,New Follower Alert,Your friend interacted with your recent post. Check it out now.
228,social,Someone Liked Your Post,You have a new notification from your social network account.
229,purchases,Order Confirmation,Thank you for your order. Your purchase has been confirmed.
230,personal,Trip Planning,Hope you are doing well. Let's catch up soon.
231,purchases,Order Confirmation,Thank you for your order. Your purchase has been confirmed.
232,work,Quarterly Review Reminder,This is a reminder for the upcoming quarterly performance review.
233,social,You Were Tagged in a Post,You have a new notification from your social network account.
234,updates,Weekly Newsletter,We wanted to inform you about an important update to your account.
235,spam,Urgent Business Proposal,Act immediately to claim your prize before it expires.
236,updates,Weekly Newsletter,We wanted to inform you about an important update to your account.
237,spam,Claim Your Prize Now,Act immediately to claim your prize before it expires.
238,personal,Meeting Tomorrow,Hope you are doing well. Let's catch up soon.
239,work,Sprint Planning Meeting,We will have a sprint planning meeting tomorrow morning.
240,social,New Follower Alert,You have a new notification from your social network account.
241,social,Event Invitation,You have a new notification from your social network account.
242,purchases,Return Request Approved,Thank you for your order. Your purchase has been confirmed.
243,updates,System Maintenance Update,Your account settings were recently modified successfully.
244,social,New Follower Alert,Your friend interacted with your recent post. Check it out now.
245,personal,Meeting Tomorrow,Just wanted to check if you are available for a quick discussion.
246,updates,Subscription Reminder,Your account settings were recently modified successfully.
247,updates,Password Changed,We wanted to inform you about an important update to your account.
248,promotions,Flash Discount Inside,Get amazing discounts on top products. Limited time promotion available now.
249,promotions,Special Offer for Members,Huge sale on electronics and fashion items. Shop today and save big.
250,purchases,Receipt for Your Purchase,Your order is on the way and will be delivered soon.
251,updates,Weekly Newsletter,We wanted to inform you about an important update to your account.
252,promotions,Special Offer for Members,Get amazing discounts on top products. Limited time promotion available now.
253,updates,Policy Update Notice,We wanted to inform you about an important update to your account.
254,personal,Checking In,Hope you are doing well. Let's catch up soon.
255,social,Event Invitation,You have a new notification from your social network account.
256,social,Event Invitation,You have a new notification from your social network account.
257,purchases,Invoice for Your Order,Your order is on the way and will be delivered soon.
258,spam,Urgent Business Proposal,Congratulations you have been selected to receive a huge reward. Click now.
259,personal,Meeting Tomorrow,Hope you are doing well. Let's catch up soon.
260,promotions,Save Big Today,Huge sale on electronics and fashion items. Shop today and save big.
261,promotions,Flash Discount Inside,Huge sale on electronics and fashion items. Shop today and save big.
262,updates,Policy Update Notice,We wanted to inform you about an important update to your account.
263,personal,Dinner Tonight,Hope you are doing well. Let's catch up soon.
264,social,New Follower Alert,Your friend interacted with your recent post. Check it out now.
265,spam,Free Gift Card Inside,Congratulations you have been selected to receive a huge reward. Click now.
266,promotions,Exclusive Deal Just for You,Get amazing discounts on top products. Limited time promotion available now.
267,social,Someone Liked Your Post,You have a new notification from your social network account.
268,spam,Investment Opportunity,Act immediately to claim your prize before it expires.
269,promotions,Special Offer for Members,Huge sale on electronics and fashion items. Shop today and save big.
270,spam,Free Gift Card Inside,Act immediately to claim your prize before it expires.
271,purchases,Return Request Approved,Your order is on the way and will be delivered soon.
272,purchases,Your Package Has Shipped,Your order is on the way and will be delivered soon.
273,updates,System Maintenance Update,We wanted to inform you about an important update to your account.
274,promotions,Flash Discount Inside,Huge sale on electronics and fashion items. Shop today and save big.
275,personal,Meeting Tomorrow,Hope you are doing well. Let's catch up soon.
276,promotions,Limited Time Offer,Get amazing discounts on top products. Limited time promotion available now.
277,promotions,Special Offer for Members,Get amazing discounts on top products. Limited time promotion available now.
278,personal,Trip Planning,Just wanted to check if you are available for a quick discussion.
279,updates,System Maintenance Update,Your account settings were recently modified successfully.
280,purchases,Order Confirmation,Your order is on the way and will be delivered soon.
281,promotions,Exclusive Deal Just for You,Get amazing discounts on top products. Limited time promotion available now.
282,personal,Meeting Tomorrow,Hope you are doing well. Let's catch up soon.
283,spam,Free Gift Card Inside,Congratulations you have been selected to receive a huge reward. Click now.
284,social,New Comment on Your Photo,Your friend interacted with your recent post. Check it out now.
285,spam,Claim Your Prize Now,Act immediately to claim your prize before it expires.
286,promotions,Exclusive Deal Just for You,Get amazing discounts on top products. Limited time promotion available now.
287,personal,Dinner Tonight,Just wanted to check if you are available for a quick discussion.
288,purchases,Receipt for Your Purchase,Your order is on the way and will be delivered soon.
289,purchases,Receipt for Your Purchase,Your order is on the way and will be delivered soon.
290,personal,Call Me When Free,Just wanted to check if you are available for a quick discussion.
291,purchases,Invoice for Your Order,Thank you for your order. Your purchase has been confirmed.
292,social,Event Invitation,You have a new notification from your social network account.
293,personal,Dinner Tonight,Just wanted to check if you are available for a quick discussion.
294,purchases,Receipt for Your Purchase,Thank you for your order. Your purchase has been confirmed.
295,personal,Project Discussion,Just wanted to check if you are available for a quick discussion.
296,promotions,Exclusive Deal Just for You,Huge sale on electronics and fashion items. Shop today and save big.
297,purchases,Invoice for Your Order,Your order is on the way and will be delivered soon.
298,promotions,Flash Discount Inside,Huge sale on electronics and fashion items. Shop today and save big.
299,purchases,Order Confirmation,Thank you for your order. Your purchase has been confirmed.
300,personal,Call Me When Free,Just wanted to check if you are available for a quick discussion.
301,personal,Trip Planning,Just wanted to check if you are available for a quick discussion.
302,promotions,Exclusive Deal Just for You,Huge sale on electronics and fashion items. Shop today and save big.
303,personal,Project Discussion,Just wanted to check if you are available for a quick discussion.
304,spam,Urgent Business Proposal,Congratulations you have been selected to receive a huge reward. Click now.
305,updates,Policy Update Notice,Your account settings were recently modified successfully.
306,promotions,Save Big Today,Huge sale on electronics and fashion items. Shop today and save big.
307,social,New Follower Alert,You have a new notification from your social network account.
308,personal,Dinner Tonight,Just wanted to check if you are available for a quick discussion.
309,personal,Checking In,Hope you are doing well. Let's catch up soon.
310,updates,Password Changed,Your account settings were recently modified successfully.
311,social,Event Invitation,You have a new notification from your social network account.
312,purchases,Invoice for Your Order,Your order is on the way and will be delivered soon.
313,social,New Comment on Your Photo,Your friend interacted with your recent post. Check it out now.
314,personal,Trip Planning,Just wanted to check if you are available for a quick discussion.
315,spam,Urgent Business Proposal,Act immediately to claim your prize before it expires.
316,promotions,Save Big Today,Get amazing discounts on top products. Limited time promotion available now.
317,social,Someone Liked Your Post,You have a new notification from your social network account.
318,spam,Free Gift Card Inside,Act immediately to claim your prize before it expires.
319,promotions,Save Big Today,Get amazing discounts on top products. Limited time promotion available now.
320,personal,Dinner Tonight,Hope you are doing well. Let's catch up soon.
321,spam,Earn Money Fast,Congratulations you have been selected to receive a huge reward. Click now.
322,promotions,Limited Time Offer,Get amazing discounts on top products. Limited time promotion available now.
323,social,Event Invitation,Your friend interacted with your recent post. Check it out now.
324,updates,Account Security Alert,We wanted to inform you about an important update to your account.
325,personal,Checking In,Hope you are doing well. Let's catch up soon.
326,social,You Were Tagged in a Post,You have a new notification from your social network account.
327,spam,Investment Opportunity,Congratulations you have been selected to receive a huge reward. Click now.
328,spam,Urgent Business Proposal,Act immediately to claim your prize before it expires.
329,purchases,Order Confirmation,Thank you for your order. Your purchase has been confirmed.
330,spam,Claim Your Prize Now,Act immediately to claim your prize before it expires.
331,spam,Investment Opportunity,Congratulations you have been selected to receive a huge reward. Click now.
332,personal,Checking In,Just wanted to check if you are available for a quick discussion.
333,promotions,Limited Time Offer,Huge sale on electronics and fashion items. Shop today and save big.
334,spam,Claim Your Prize Now,Act immediately to claim your prize before it expires.
335,updates,Policy Update Notice,Your account settings were recently modified successfully.
336,spam,You Won a Lottery,Congratulations you have been selected to receive a huge reward. Click now.
337,personal,Checking In,Just wanted to check if you are available for a quick discussion.
338,spam,Claim Your Prize Now,Act immediately to claim your prize before it expires.
339,purchases,Invoice for Your Order,Thank you for your order. Your purchase has been confirmed.
340,promotions,Flash Discount Inside,Huge sale on electronics and fashion items. Shop today and save big.
341,purchases,Delivery Completed,Your order is on the way and will be delivered soon.
342,social,Event Invitation,You have a new notification from your social network account.
343,work,Code Review Request,The latest code has been uploaded to the repository. Kindly review it.
344,personal,Checking In,Hope you are doing well. Let's catch up soon.
345,personal,Meeting Tomorrow,Just wanted to check if you are available for a quick discussion.
346,updates,Subscription Reminder,Your account settings were recently modified successfully.
347,social,Event Invitation,Your friend interacted with your recent post. Check it out now.
348,social,New Follower Alert,Your friend interacted with your recent post. Check it out now.
349,promotions,Special Offer for Members,Get amazing discounts on top products. Limited time promotion available now.
350,promotions,Exclusive Deal Just for You,Huge sale on electronics and fashion items. Shop today and save big.
351,spam,You Won a Lottery,Congratulations you have been selected to receive a huge reward. Click now.
352,social,You Were Tagged in a Post,You have a new notification from your social network account.
353,purchases,Your Package Has Shipped,Thank you for your order. Your purchase has been confirmed.
354,social,You Were Tagged in a Post,Your friend interacted with your recent post. Check it out now.
355,work,Deadline Reminder,This is a reminder that the project deadline is approaching soon.
356,social,New Friend Request,You have a new notification from your social network account.
357,updates,Password Changed,Your account settings were recently modified successfully.
358,purchases,Your Package Has Shipped,Your order is on the way and will be delivered soon.
359,promotions,Limited Time Offer,Get amazing discounts on top products. Limited time promotion available now.
360,social,New Friend Request,Your friend interacted with your recent post. Check it out now.
361,updates,Weekly Newsletter,Your account settings were recently modified successfully.
362,promotions,Flash Discount Inside,Huge sale on electronics and fashion items. Shop today and save big.
363,personal,Call Me When Free,Just wanted to check if you are available for a quick discussion.
364,promotions,Limited Time Offer,Huge sale on electronics and fashion items. Shop today and save big.
365,updates,Subscription Reminder,We wanted to inform you about an important update to your account.
366,social,Someone Liked Your Post,Your friend interacted with your recent post. Check it out now.
367,purchases,Return Request Approved,Thank you for your order. Your purchase has been confirmed.
368,promotions,Special Offer for Members,Get amazing discounts on top products. Limited time promotion available now.
369,updates,Password Changed,We wanted to inform you about an important update to your account.
370,purchases,Delivery Completed,Your order is on the way and will be delivered soon.
371,spam,You Won a Lottery,Act immediately to claim your prize before it expires.
372,promotions,Exclusive Deal Just for You,Get amazing discounts on top products. Limited time promotion available now.
373,purchases,Delivery Completed,Thank you for your order. Your purchase has been confirmed.
374,personal,Call Me When Free,Hope you are doing well. Let's catch up soon.
375,spam,You Won a Lottery,Congratulations you have been selected to receive a huge reward. Click now.
376,purchases,Order Confirmation,Your order is on the way and will be delivered soon.
377,updates,Password Changed,Your account settings were recently modified successfully.
378,spam,Earn Money Fast,Act immediately to claim your prize before it expires.
379,personal,Dinner Tonight,Hope you are doing well. Let's catch up soon.
380,updates,System Maintenance Update,Your account settings were recently modified successfully.
381,purchases,Return Request Approved,Thank you for your order. Your purchase has been confirmed.
382,promotions,Special Offer for Members,Huge sale on electronics and fashion items. Shop today and save big.
383,purchases,Your Package Has Shipped,Your order is on the way and will be delivered soon.
384,updates,Weekly Newsletter,We wanted to inform you about an important update to your account.
385,purchases,Invoice for Your Order,Your order is on the way and will be delivered soon.
386,purchases,Invoice for Your Order,Thank you for your order. Your purchase has been confirmed.
387,social,New Friend Request,Your friend interacted with your recent post. Check it out now.
388,promotions,Exclusive Deal Just for You,Huge sale on electronics and fashion items. Shop today and save big.
389,promotions,Mega Sale Today,Get amazing discounts on top products. Limited time promotion available now.
390,spam,Investment Opportunity,Congratulations you have been selected to receive a huge reward. Click now.
391,promotions,Mega Sale Today,Huge sale on electronics and fashion items. Shop today and save big.
392,updates,Subscription Reminder,Your account settings were recently modified successfully.
393,promotions,Mega Sale Today,Huge sale on electronics and fashion items. Shop today and save big.
394,social,Someone Liked Your Post,You have a new notification from your social network account.
395,promotions,Save Big Today,Get amazing discounts on top products. Limited time promotion available now.
396,purchases,Order Confirmation,Your order is on the way and will be delivered soon.
397,social,New Follower Alert,You have a new notification from your social network account.
398,purchases,Order Confirmation,Thank you for your order. Your purchase has been confirmed.
399,promotions,Exclusive Deal Just for You,Huge sale on electronics and fashion items. Shop today and save big.
400,spam,Investment Opportunity,Congratulations you have been selected to receive a huge reward. Click now.
401,updates,System Maintenance Update,Your account settings were recently modified successfully.
402,purchases,Delivery Completed,Your order is on the way and will be delivered soon.
403,purchases,Order Confirmation,Thank you for your order. Your purchase has been confirmed.
404,personal,Checking In,Hope you are doing well. Let's catch up soon.
405,spam,Free Gift Card Inside,Act immediately to claim your prize before it expires.
406,purchases,Order Confirmation,Thank you for your order. Your purchase has been confirmed.
407,purchases,Return Request Approved,Thank you for your order. Your purchase has been confirmed.
408,spam,Urgent Business Proposal,Congratulations you have been selected to receive a huge reward. Click now.
409,personal,Dinner Tonight,Just wanted to check if you are available for a quick discussion.
410,purchases,Return Request Approved,Your order is on the way and will be delivered soon.
411,promotions,Exclusive Deal Just for You,Get amazing discounts on top products. Limited time promotion available now.
412,updates,Weekly Newsletter,We wanted to inform you about an important update to your account.
413,updates,Subscription Reminder,Your account settings were recently modified successfully.
414,updates,Account Security Alert,We wanted to inform you about an important update to your account.
415,spam,Investment Opportunity,Act immediately to claim your prize before it expires.
416,spam,Urgent Business Proposal,Act immediately to claim your prize before it expires.
